,id
0,6641583930958941445
1,6663006395299794181
2,6662848478483320069
3,6666316696573185285
4,6667621704858078469
5,6667468562312989957
6,6667343335801228550
7,6667339160459676934
8,6673569701559274758
9,6688799885493275910
10,6693233416063683845
11,6694235155478875398
12,6697170110114712837
13,6697004556045257990
14,6701441701505928454
15,6702180294981586182
16,6721155434452995333
17,6729576228170337541
18,6729276264827473157
19,6744685974623653126
20,6744480423981665541
21,6747051706581798149
22,6747820133852515589
23,6748237359139147013
24,6751488150461271301
25,6751448880874851590
26,6758440000691457286
27,6760966604915313925
28,6773238156671094022
29,6775994967190949125
30,6777430622731324677
31,6777720357538368774
32,6779330279623445766
33,6779061508014902533
34,6781539973687414022
35,6781451255882599686
36,6782641023374920965
37,6786750262963997957
38,6786730358776909061
39,6787369129545387269
40,6790422528708873477
41,6790703437156732166
42,6790925435447282950
43,6792315273413233925
44,6792310538249571589
45,6791991887801666821
46,6793826445681577221
47,6793783275874815238
48,6794525232666365189
49,6794523927990324485
50,6794485904087076101
51,6794485101146180869
52,6795209764864380166
53,6795606943764450565
54,6795335781314596102
55,6796791762024287493
56,6796663379843878150
57,6796434953614806277
58,6797159725017419013
59,6797137337450122502
60,6797133370242370822
61,6797129811878890758
62,6797072421292641542
63,6797052663952461062
64,6797045435832880390
65,6797029364929137926
66,6796871596482022661
67,6797486368214797574
68,6797485382830165253
69,6797480152843488518
70,6797464221706636549
71,6797447868337655045
72,6797408248245783814
73,6797249015219031301
74,6797220915634507014
75,6797209461279755525
76,6797206886090427653
77,6797904616924187909
78,6797821978980928774
79,6797611099089898757
80,6797598907024035077
81,6797575232111529221
82,6797563931201113350
83,6797557923607268614
84,6798257268908363013
85,6798216959772069125
86,6798122062952041734
87,6797974744613391622
88,6797925677883575557
89,6797911777523879174
90,6798589936552381701
91,6798577557856963845
92,6798560563120114950
93,6798311099558153477
94,6798309887966219526
95,6798302616980868358
96,6798905276524154117
97,6798883141755997446
98,6798733526507277574
99,6798724006896749829
100,6799364605756853509
101,6799309578916973829
102,6799028485600972038
103,6799026752933874949
104,6799726674670832901
105,6799456896156830982
106,6800437814275116293
107,6800391029519420678
108,6800554513712434437
109,6800549300469255429
110,6800512357375249669
111,6801614728511769861
112,6801605935094664454
113,6801579602364960005
114,6801274623863442694
115,6801929555419483397
116,6802006098011327749
117,6802723500390944006
118,6802774971434306821
119,6803747659078307078
120,6803745428694158597
121,6804155110718049542
122,6804587563672718597
123,6805613701073243398
124,6806404557300714758
125,6806350776357653765
126,6808181490669735174
127,6807995587556805894
128,6808311212925832454
129,6809675180642798853
130,6809463462591319302
131,6809459661931105542
132,6811359680393170182
133,6811320596866108678
134,6812008907989585157
135,6811963659414211845
136,6812299845789928710
137,6812226551069838597
138,6812503167163469061
139,6812408077359369477
140,6813045161552088325
141,6813032295977520390
142,6812820373306969350
143,6812785854541516038
144,6812777724181056773
145,6812761510264245510
146,6813485948907670789
147,6813442912748096773
148,6813390755919318277
149,6813209523231231237
150,6813180474102533382
151,6813155442689133830
152,6813549034209332486
153,6813503528900824326
154,6814218624526601478
155,6814146513107733765
156,6814569052388871429
157,6814564791693184261
158,6814539786200550661
159,6814289810333666565
160,6814278894397541637
161,6814264129646267653
162,6814859547082083590
163,6814686457597299974
164,6815240393492303109
165,6815219096142187782
166,6815638615872244997
167,6815558455496166661
168,6815547888391720198
169,6815491990956903685
170,6815376181785808133
171,6816048678802017541
172,6815953037778095366
173,6815763145492008197
174,6815742266490277126
175,6815735155890605318
176,6816429859468840198
177,6816419542689008901
178,6816335585230294277
179,6816799500401642757
180,6816710417038216454
181,6816703250948115718
182,6816669126992432389
183,6816667663436238086
184,6816639989791739141
185,6816473466187828486
186,6817162757700373765
187,6817122993840344326
188,6817046159681506565
189,6816943124787498245
190,6816927263779540230
191,6816857593223433478
192,6816851980644879622
193,6817575437150080262
